,created_at,text
30,2022-12-04 16:54:38+00:00,"@thedivinecomic3 @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/BJVHo5Iqhf"
31,2022-12-04 16:54:35+00:00,"@beritastenggara DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
32,2022-12-04 16:54:32+00:00,"@LilMoonLambo And is #ElonMusk, which is why $EGT built him this majestic monument 

#elongoat #ELONGOATTOKEN #ETH #NFT #goatmas https://t.co/W24PJoRFhN"
33,2022-12-04 16:54:30+00:00,"@Lindellsmithjr @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/tvwLM4qxF5"
34,2022-12-04 16:54:24+00:00,"@leonardnftpage @HolyVerseNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/0FIbMjI0nv"
35,2022-12-04 16:54:23+00:00,"@Alex_J_Cleret @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/p9jNo6NaFb"
36,2022-12-04 16:54:20+00:00,"@MergerKatie @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/7FbdWPw0Tz"
37,2022-12-04 16:54:17+00:00,"The NeuraLink mission will be to develop and acquire AI that will help give us the social and financial advantage in todays crypto market.

#Neuralink 

https://t.co/l73RwQ5VI1

 #1000xGem #ETH #RBXS #CMC #ERC #ELONMUSK #Crypto #blockchain https://t.co/rMv6wvfeCu"
38,2022-12-04 16:54:11+00:00,"@leonardnftpage @HolyVerseNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/5Ko1ZJvRJ8"
39,2022-12-04 16:54:09+00:00,"@WendtWeiss @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/bzLz1gmTLr"
40,2022-12-04 16:54:05+00:00,"@Tiffannyyy009 @Crypto__emily @vortex_protocol Strong community with great gem 
@vortex_protocol 
The gem you looking for
#Elonmusk 
#Binance 
#bnb"
41,2022-12-04 16:54:03+00:00,"@saylor @MemeingBitcoin DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
42,2022-12-04 16:54:01+00:00,"@TheZanetta @GeorgeTakei @LindaHu14367111 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/X4Ztjr9LR4"
43,2022-12-04 16:53:57+00:00,"@MinisterOfNFTs JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/8uCXw5ar6q"
44,2022-12-04 16:53:50+00:00,"@GrrlScientist @GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/WbKiQaXszP"
45,2022-12-04 16:53:47+00:00,"@cryptohper @CooJbow11 DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
46,2022-12-04 16:53:47+00:00,"@LilMoonLambo Please Score goals with this project @ElonGoatToken 🐐🐐👀👀🔥🚀

@elonmusk #ElonMusk #ElonGoatToken #ElonGoat #EGT #ClaimYourGoat #memecoin #ElonistheGoat https://t.co/4T590q0MEe"
47,2022-12-04 16:53:43+00:00,"@Tiffannyyy009 @Crypto__emily @vortex_protocol Invest your money and enjoy steady returns with a completely new, unique concept.
@vortex_protocol $VXP https://t.co/sa7fnxzqYf #vortexprotocol #ELONMUSK #Ethereum"
48,2022-12-04 16:53:42+00:00,"@Caitlyn_Jenner Word has it that you're very concerned about #Elonmusk.😮Also, I can't blame you for tweeting to him that he's public enemy #1 for very horrific people.; I couldn't agree w/you more.😐"
49,2022-12-04 16:53:41+00:00,"@__ayu3134 JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/wemfpOmJAA"
50,2022-12-04 16:53:36+00:00,"@CooJbow11 DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
51,2022-12-04 16:53:36+00:00,"@plane_hd @YouTube JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/lF2KrfNj7x"
52,2022-12-04 16:53:33+00:00,"@GeorgeTakei JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/7yqQVMbWZM"
53,2022-12-04 16:53:29+00:00,"@ieeeypctx JOIN @FrogXmas - a project created to support disadvantaged kids,celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/D3VbsVwwyz"
54,2022-12-04 16:53:26+00:00,"@SHIBRumours DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
55,2022-12-04 16:53:20+00:00,"@elifeceeray1 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/KVfa3oKmKm"
56,2022-12-04 16:53:20+00:00,"@BSCGemsAlert DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
57,2022-12-04 16:53:20+00:00,"@elonmusk every single tweet on my timeline I’d from a page I don’t follow,why is that? And why is most of it right wing American bullshit? #twitter #TWITTERGATE #Elonmusk #Elon"
58,2022-12-04 16:53:14+00:00,"@Cryptogems223 #100x next .Buy and hold. 🍀A small investment will provide us with financial freedom.

https://t.co/pFm5w1GlEL

@rabbit2023_

#BSC #ETH #BNB #Rabbit2023 #ElonMusk #Vitalik #CZ #RabbitYear $RABBIT #币安 #区块链 #加密货币"
59,2022-12-04 16:53:13+00:00,"@MrRealWhale DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
60,2022-12-04 16:53:10+00:00,"@alex33902241 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/Tipe76WsOT"
61,2022-12-04 16:53:10+00:00,"Topic:  Rising sea levels

Question:  why can’t we just run a giant pipe from the Mediterranean Sea out to the middle of the Sahara desert and turn it on

Hypothesis:  We would bring down sea levels, displace water to otherwise worthless land and fill ancient aquifers
#Elonmusk"
62,2022-12-04 16:53:05+00:00,"@TravisC77777777 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/Ttj9JhBEKX"
63,2022-12-04 16:52:58+00:00,"@Investments_CEO DATA BY #CoinGecko  about #CAW :
Circulating Supply = 636 T
Total Supply = 666 T
#CAW is Decentralized 🔥
#CAW is Decentralized Social Media 
#CAW like a #bitcoin 
#CAW with #ElonMusk #Ryosi #Vitalik #CZ
KEEP FREE SPECH IN FUTURE!"
64,2022-12-04 16:52:54+00:00,"@IS77294876 @westcoastbill JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/yozxb2weaz"
65,2022-12-04 16:52:50+00:00,"@angel_funsized @jiims @da_sooty @Gustaves_NFT @nft_news24 JOIN @FrogXmas - a project created to support disadvantaged kids, celebrate the holiday in crypto space and to profit all  investors
Prepare yourself for being part of the greatest and most rewarding Xmas token!
#BSCGem #frogxmas #presale #memecoin #100xGems  #lowcapgem #elonmusk https://t.co/r4bvYJMJUz"
